company,industry,category,metric,score,error
Adidas,Textiles & Apparel,Environmental,Environmental,3.2,
Adidas,Textiles & Apparel,Environmental,Climate Transition,5,
Adidas,Textiles & Apparel,Environmental,Energy & Resource Use,3,
Adidas,Textiles & Apparel,Environmental,Biodiversity,4,
Adidas,Textiles & Apparel,Environmental,Water Use,1,
Adidas,Textiles & Apparel,Environmental,Waste & Pollution,2,
Adidas,Textiles & Apparel,Social,Social,3.8,
Adidas,Textiles & Apparel,Social,Labour Reations,4,
Adidas,Textiles & Apparel,Social,Health & Safety,3,
Adidas,Textiles & Apparel,Social,Human Rights & Community,5,
Adidas,Textiles & Apparel,Governance,Governance,3.5,
Adidas,Textiles & Apparel,Governance,Board & Management,3,
Adidas,Textiles & Apparel,Governance,Shareholder Rights,4,
Adidas,Textiles & Apparel,Governance,Conduct & Anti-Corruption,4,
Adidas,Textiles & Apparel,Governance,Tax Transperancy & Accounting,3,
Nike,Textiles & Apparel,Environmental,Environmental,3.3,
Nike,Textiles & Apparel,Environmental,Climate Transition,5,
Nike,Textiles & Apparel,Environmental,Energy & Resource Use,3,
Nike,Textiles & Apparel,Environmental,Biodiversity,1,
Nike,Textiles & Apparel,Environmental,Water Use,3,
Nike,Textiles & Apparel,Environmental,Waste & Pollution,3,
Nike,Textiles & Apparel,Social,Social,2.1,
Nike,Textiles & Apparel,Social,Labour Reations,3,
Nike,Textiles & Apparel,Social,Health & Safety,1,
Nike,Textiles & Apparel,Social,Human Rights & Community,2,
Nike,Textiles & Apparel,Governance,Governance,3.8,
Nike,Textiles & Apparel,Governance,Board & Management,3,
Nike,Textiles & Apparel,Governance,Shareholder Rights,5,
Nike,Textiles & Apparel,Governance,Conduct & Anti-Corruption,3,
Nike,Textiles & Apparel,Governance,Tax Transperancy & Accounting,3,
Puma,Textiles & Apparel,Environmental,Environmental,4.4,
Puma,Textiles & Apparel,Environmental,Climate Transition,4,
Puma,Textiles & Apparel,Environmental,Energy & Resource Use,5,
Puma,Textiles & Apparel,Environmental,Biodiversity,5,
Puma,Textiles & Apparel,Environmental,Water Use,4,
Puma,Textiles & Apparel,Environmental,Waste & Pollution,4,
Puma,Textiles & Apparel,Social,Social,4.6,
Puma,Textiles & Apparel,Social,Labour Reations,5,
Puma,Textiles & Apparel,Social,Health & Safety,4,
Puma,Textiles & Apparel,Social,Human Rights & Community,5,
Puma,Textiles & Apparel,Governance,Governance,3.0,
Puma,Textiles & Apparel,Governance,Board & Management,4,
Puma,Textiles & Apparel,Governance,Shareholder Rights,2,
Puma,Textiles & Apparel,Governance,Conduct & Anti-Corruption,3,
Puma,Textiles & Apparel,Governance,Tax Transperancy & Accounting,3,
Lululemon,Textiles & Apparel,Environmental,Environmental,2.4,
Lululemon,Textiles & Apparel,Environmental,Climate Transition,4,
Lululemon,Textiles & Apparel,Environmental,Energy & Resource Use,3,
Lululemon,Textiles & Apparel,Environmental,Biodiversity,1,
Lululemon,Textiles & Apparel,Environmental,Water Use,1,
Lululemon,Textiles & Apparel,Environmental,Waste & Pollution,1,
Lululemon,Textiles & Apparel,Social,Social,1.6,
Lululemon,Textiles & Apparel,Social,Labour Reations,2,
Lululemon,Textiles & Apparel,Social,Health & Safety,1,
Lululemon,Textiles & Apparel,Social,Human Rights & Community,2,
Lululemon,Textiles & Apparel,Governance,Governance,3.1,
Lululemon,Textiles & Apparel,Governance,Board & Management,5,
Lululemon,Textiles & Apparel,Governance,Shareholder Rights,2,
Lululemon,Textiles & Apparel,Governance,Conduct & Anti-Corruption,2,
Lululemon,Textiles & Apparel,Governance,Tax Transperancy & Accounting,2,
H & M,Specialty Retailers,Environmental,Environmental,3.6,
H & M,Specialty Retailers,Environmental,Climate Transition,5,
H & M,Specialty Retailers,Environmental,Energy & Resource Use,5,
H & M,Specialty Retailers,Environmental,Biodiversity,4,
H & M,Specialty Retailers,Environmental,Water Use,2,
H & M,Specialty Retailers,Environmental,Waste & Pollution,2,
H & M,Specialty Retailers,Social,Social,3.0,
H & M,Specialty Retailers,Social,Labour Reations,4,
H & M,Specialty Retailers,Social,Health & Safety,1,
H & M,Specialty Retailers,Social,Human Rights & Community,5,
H & M,Specialty Retailers,Governance,Governance,2.3,
H & M,Specialty Retailers,Governance,Board & Management,1,
H & M,Specialty Retailers,Governance,Shareholder Rights,3,
H & M,Specialty Retailers,Governance,Conduct & Anti-Corruption,3,
H & M,Specialty Retailers,Governance,Tax Transperancy & Accounting,3,
JD Sports,Specialty Retailers,Environmental,Environmental,2.2,
JD Sports,Specialty Retailers,Environmental,Climate Transition,4,
JD Sports,Specialty Retailers,Environmental,Energy & Resource Use,3,
JD Sports,Specialty Retailers,Environmental,Biodiversity,1,
JD Sports,Specialty Retailers,Environmental,Water Use,1,
JD Sports,Specialty Retailers,Environmental,Waste & Pollution,1,
JD Sports,Specialty Retailers,Social,Social,1.9,
JD Sports,Specialty Retailers,Social,Labour Reations,3,
JD Sports,Specialty Retailers,Social,Health & Safety,1,
JD Sports,Specialty Retailers,Social,Human Rights & Community,0,
JD Sports,Specialty Retailers,Governance,Governance,2.4,
JD Sports,Specialty Retailers,Governance,Board & Management,3,
JD Sports,Specialty Retailers,Governance,Shareholder Rights,2,
JD Sports,Specialty Retailers,Governance,Conduct & Anti-Corruption,1,
JD Sports,Specialty Retailers,Governance,Tax Transperancy & Accounting,3,
Gap,Specialty Retailers,Environmental,Environmental,2.3,
Gap,Specialty Retailers,Environmental,Climate Transition,4,
Gap,Specialty Retailers,Environmental,Energy & Resource Use,3,
Gap,Specialty Retailers,Environmental,Biodiversity,1,
Gap,Specialty Retailers,Environmental,Water Use,2,
Gap,Specialty Retailers,Environmental,Waste & Pollution,1,
Gap,Specialty Retailers,Social,Social,2.5,
Gap,Specialty Retailers,Social,Labour Reations,3,
Gap,Specialty Retailers,Social,Health & Safety,2,
Gap,Specialty Retailers,Social,Human Rights & Community,2,
Gap,Specialty Retailers,Governance,Governance,3.5,
Gap,Specialty Retailers,Governance,Board & Management,4,
Gap,Specialty Retailers,Governance,Shareholder Rights,4,
Gap,Specialty Retailers,Governance,Conduct & Anti-Corruption,2,
Gap,Specialty Retailers,Governance,Tax Transperancy & Accounting,2,
Burberry,Specialty Retailers,Environmental,Environmental,3.1,
Burberry,Specialty Retailers,Environmental,Climate Transition,5,
Burberry,Specialty Retailers,Environmental,Energy & Resource Use,3,
Burberry,Specialty Retailers,Environmental,Biodiversity,3,
Burberry,Specialty Retailers,Environmental,Water Use,1,
Burberry,Specialty Retailers,Environmental,Waste & Pollution,2,
Burberry,Specialty Retailers,Social,Social,2.9,
Burberry,Specialty Retailers,Social,Labour Reations,3,
Burberry,Specialty Retailers,Social,Health & Safety,2,
Burberry,Specialty Retailers,Social,Human Rights & Community,5,
Burberry,Specialty Retailers,Governance,Governance,4.8,
Burberry,Specialty Retailers,Governance,Board & Management,5,
Burberry,Specialty Retailers,Governance,Shareholder Rights,5,
Burberry,Specialty Retailers,Governance,Conduct & Anti-Corruption,3,
Burberry,Specialty Retailers,Governance,Tax Transperancy & Accounting,5,
Columbia,Textiles & Apparel,Environmental,Environmental,1.4,
Columbia,Textiles & Apparel,Environmental,Climate Transition,3,
Columbia,Textiles & Apparel,Environmental,Energy & Resource Use,1,
Columbia,Textiles & Apparel,Environmental,Biodiversity,0,
Columbia,Textiles & Apparel,Environmental,Water Use,1,
Columbia,Textiles & Apparel,Environmental,Waste & Pollution,1,
Columbia,Textiles & Apparel,Social,Social,1.5,
Columbia,Textiles & Apparel,Social,Labour Reations,2,
Columbia,Textiles & Apparel,Social,Health & Safety,1,
Columbia,Textiles & Apparel,Social,Human Rights & Community,1,
Columbia,Textiles & Apparel,Governance,Governance,3.4,
Columbia,Textiles & Apparel,Governance,Board & Management,3,
Columbia,Textiles & Apparel,Governance,Shareholder Rights,5,
Columbia,Textiles & Apparel,Governance,Conduct & Anti-Corruption,1,
Columbia,Textiles & Apparel,Governance,Tax Transperancy & Accounting,2,
Boohoo,Specialty Retailers,Environmental,Environmental,1.7,
Boohoo,Specialty Retailers,Environmental,Climate Transition,4,
Boohoo,Specialty Retailers,Environmental,Energy & Resource Use,0,
Boohoo,Specialty Retailers,Environmental,Biodiversity,2,
Boohoo,Specialty Retailers,Environmental,Water Use,1,
Boohoo,Specialty Retailers,Environmental,Waste & Pollution,0,
Boohoo,Specialty Retailers,Social,Social,1.1,
Boohoo,Specialty Retailers,Social,Labour Reations,1,
Boohoo,Specialty Retailers,Social,Health & Safety,1,
Boohoo,Specialty Retailers,Social,Human Rights & Community,2,
Boohoo,Specialty Retailers,Governance,Governance,2.4,
Boohoo,Specialty Retailers,Governance,Board & Management,2,
Boohoo,Specialty Retailers,Governance,Shareholder Rights,3,
Boohoo,Specialty Retailers,Governance,Conduct & Anti-Corruption,1,
Boohoo,Specialty Retailers,Governance,Tax Transperancy & Accounting,3,
Under Armour,Textiles & Apparel,Environmental,Environmental,1.5,
Under Armour,Textiles & Apparel,Environmental,Climate Transition,3,
Under Armour,Textiles & Apparel,Environmental,Energy & Resource Use,1,
Under Armour,Textiles & Apparel,Environmental,Biodiversity,1,
Under Armour,Textiles & Apparel,Environmental,Water Use,1,
Under Armour,Textiles & Apparel,Environmental,Waste & Pollution,1,
Under Armour,Textiles & Apparel,Social,Social,1.8,
Under Armour,Textiles & Apparel,Social,Labour Reations,2,
Under Armour,Textiles & Apparel,Social,Health & Safety,1,
Under Armour,Textiles & Apparel,Social,Human Rights & Community,3,
Under Armour,Textiles & Apparel,Governance,Governance,3.0,
Under Armour,Textiles & Apparel,Governance,Board & Management,4,
Under Armour,Textiles & Apparel,Governance,Shareholder Rights,3,
Under Armour,Textiles & Apparel,Governance,Conduct & Anti-Corruption,2,
Under Armour,Textiles & Apparel,Governance,Tax Transperancy & Accounting,1,
